transaction_id,client_id,stock_id,symbol,trade_date,trade_time,side,order_type,quantity,price,gross_value_thb,commission_thb,vat_thb,net_value_thb,channel,status,settlement_date
TXN00006478,C00164,STK0050,THCOM,2025-03-03,2025-03-03 10:00:04,BUY,Market,10000,43.26,432600.0,1094.48,76.61,433771.09,Online,Filled,2025-03-05
TXN00013084,C00015,STK0025,ORI,2025-03-03,2025-03-03 10:11:21,SELL,Limit,10000,21.73,217300.0,478.06,33.46,216788.48,Online,Filled,2025-03-05
TXN00001678,C00071,STK0004,GULF,2025-03-03,2025-03-03 10:11:23,SELL,Limit,10000,112.68,1126800.0,1690.2,118.31,1124991.49,Mobile App,Filled,2025-03-05
TXN00021000,C00185,STK0017,BCH,2025-03-03,2025-03-03 10:11:34,SELL,Limit,500000,73.3,36650000.0,42147.5,2950.32,36604902.18,Mobile App,Filled,2025-03-05
TXN00012328,C00470,STK0042,IVL,2025-03-03,2025-03-03 10:21:25,SELL,Limit,500000,50.53,25265000.0,25265.0,1768.55,25237966.45,Online,Filled,2025-03-05
TXN00017214,C00095,STK0008,KBANK,2025-03-03,2025-03-03 10:27:04,BUY,Limit,40000,118.97,4758800.0,8185.14,572.96,4767558.1,Mobile App,Filled,2025-03-05
TXN00015896,C00448,STK0007,EGCO,2025-03-03,2025-03-03 10:49:25,BUY,Market,500000,59.74,29870000.0,34350.5,2404.54,29906755.04,Broker,Filled,2025-03-05
TXN00024316,C00470,STK0014,TISCO,2025-03-03,2025-03-03 10:51:21,SELL,Limit,500000,103.87,51935000.0,51935.0,3635.45,51879429.55,Online,Filled,2025-03-05
TXN00024056,C00322,STK0015,BDMS,2025-03-03,2025-03-03 10:56:29,BUY,Limit,500000,57.18,28590000.0,31449.0,2201.43,28623650.43,Mobile App,Filled,2025-03-05
TXN00015346,C00067,STK0019,RJH,2025-03-03,2025-03-03 10:58:13,BUY,Limit,4000,42.58,170320.0,430.91,30.16,170781.07,Phone,Filled,2025-03-05
TXN00009896,C00085,STK0010,BBL,2025-03-03,2025-03-03 11:02:47,SELL,Limit,50000,108.73,5436500.0,6523.8,456.67,5429519.53,Broker,Filled,2025-03-05
TXN00005192,C00497,STK0040,SCC,2025-03-03,2025-03-03 11:06:23,SELL,Market,4000,17.04,68160.0,187.44,13.12,67959.44,Online,Filled,2025-03-05
TXN00020307,C00408,STK0023,SPALI,2025-03-03,2025-03-03 11:11:59,SELL,Market,100000,10.58,1058000.0,1587.0,111.09,1056301.91,Online,Filled,2025-03-05
TXN00002660,C00368,STK0031,FORTH,2025-03-03,2025-03-03 11:21:37,BUY,Limit,10000,55.43,554300.0,1097.51,76.83,555474.34,Broker,Filled,2025-03-05
TXN00011358,C00476,STK0033,INET,2025-03-03,2025-03-03 11:24:46,SELL,Market,5000,21.71,108550.0,262.69,18.39,108268.92,Online,Filled,2025-03-05
